uid,civilite,prenom,nom,date_naissance,ville_naissance,profession_declaree,insee_cat_socpro,insee_fam_socpro,groupe_politique,departement,circonscription
PA796062,M.,Thomas,Portes,1985-11-18,Carmaux,Cheminot,"Employés administratifs de la fonction publique, agents de service et auxiliaires de santé",Employés,La France insoumise - Nouveau Front Populaire,Seine-Saint-Denis,3
PA796070,M.,Perceval,Gaillard,1983-04-24,Rouen,Profession intermédiaire de la santé et du travail social,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,La France insoumise - Nouveau Front Populaire,Réunion,7
PA796078,Mme,Estelle,Youssouffa,1978-07-31,Chatenay-Malabry,Consultante,Professions libérales,Cadres et professions intellectuelles supérieures,"Libertés, Indépendants, Outre-mer et Territoires",Mayotte,1
PA796090,M.,Aymeric,Caron,1971-12-04,Boulogne Sur Mer,"Profession de l'information, des arts et des spectacles",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Paris,18
PA796106,M.,Édouard,Bénard,1995-02-18,Rouen,Collaborateur d'élu,"Employés administratifs de la fonction publique, agents de service et auxiliaires de santé",Employés,Gauche Démocrate et Républicaine,Seine-Maritime,3
PA796118,Mme,Bénédicte,Auzanot,1972-08-05,Besançon,(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r,Sans profession déclarée,Sans profession déclarée,Rassemblement National,Vaucluse,2
PA805166,Mme,Anne,Bergantz,1968-09-17,Chalon-sur-Saône,responsable de service social,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Les Démocrates,Yvelines,2
PA817203,Mme,Laure,Miller,1983-12-25,Reims,Avocate,Professions libérales,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Marne,2
PA817211,M.,René,Pilato,1962-08-31,Lagny-sur Marne,Enseignant,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Charente,1
PA822617,Mme,Martine,Froger,1961-06-11,Blois,Chef d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Ariège,1
PA826635,M.,Aurélien,Rousseau,1976-06-25,Alès,Maître des requêtes au Conseil d'État,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Yvelines,7
PA840067,M.,Gabriel,Tomatis,1999-11-02,Nice,Sans profession déclarée,Sans profession déclarée,Sans profession déclarée,Rassemblement National,Alpes-Maritimes,4
PA840075,M.,Eddy,Casterman,1996-07-28,Lille,(37) - Cadre administratif et commercial d'entreprise,Sans profession déclarée,Sans profession déclarée,Rassemblement National,Aisne,3
PA840107,M.,Bernard,Chaumeil,1958-09-30,Montmorency,Directeur des relations institutionnelles,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Hérault,7
PA840119,Mme,Sandra,Delannoy,1974-05-01,Valenciennes,(21) - Artisan,Artisans,"Artisans, commerçants, chefs d'entreprises",Non inscrit,Nord,3
PA840135,M.,Alexandre,Dufosset,1998-08-24,Maubeuge,(54) - Employé administratif d'entreprise,Employés administratifs d'entreprise,Employés,Rassemblement National,Nord,18
PA840143,M.,Guillaume,Florquin,1993-05-04,Roncq,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Nord,20
PA840159,M.,Bruno,Clavet,1989-05-06,Aubagne,(45) - Profession intermédiaire administrative de la fonction publique,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Rassemblement National,Pas-de-Calais,3
PA840175,Mme,Dorine,Bregman,1962-03-04,Paris,Consultante en participation citoyenne,Professions libérales,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Paris,7
PA840235,M.,Moerani,Frébault,1988-08-22,Atuona Hiva Oa,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Polynésie Française,1
PA840657,Mme,Sophie,Ricourt Vaginay,1969-12-18,Toulon,(37) - Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Union des droites pour la République,Alpes-de-Haute-Provence,2
PA840665,Mme,Marie-José,Allemand,1970-01-27,Manosque,(12) - Agriculteur sur moyenne exploitation,Agriculteurs exploitants,Agriculteurs exploitants,Socialistes et apparentés,Hautes-Alpes,1
PA840673,Mme,Valérie,Rossi,1964-06-05,Marseille,(37) - Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Hautes-Alpes,2
PA840685,M.,Vincent,Trébuchet,1988-07-05,Paris,(37) - Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Union des droites pour la République,Ardèche,2
PA840701,M.,Bernard,Chaix,1965-01-06,Nice,(22) - Commerçant et assimilé,Commerçants et assimilés,"Artisans, commerçants, chefs d'entreprises",Union des droites pour la République,Alpes-Maritimes,3
PA840721,M.,Marc,Chavent,1968-06-28,Bourg-en-Bresse,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Union des droites pour la République,Ain,5
PA840745,M.,Édouard,Jordan,1987-11-06,Carcassone,Inspecteur des finances publiques,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Aude,1
PA840757,Mme,Monique,Griseti,1960-07-23,Marseille,(22) - Commerçant et assimilé,Commerçants et assimilés,"Artisans, commerçants, chefs d'entreprises",Rassemblement National,Bouches-du-Rhône,1
PA840765,M.,Laurent,Lhardit,1963-04-20,Marseille,Chef d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Bouches-du-Rhône,2
PA840773,M.,Olivier,Fayssat,1968-03-24,Marseille,Dirigeant d'entreprise,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises",Union des droites pour la République,Bouches-du-Rhône,6
PA840781,M.,Romain,Tonussi,1996-04-09,Istres,(45) - Profession intermédiaire administrative de la fonction publique,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Rassemblement National,Bouches-du-Rhône,8
PA840793,M.,Marc,Pena,1960-05-07,Marseille,"(34) - Professeur, profession scientifique","Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Socialistes et apparentés,Bouches-du-Rhône,11
PA840801,M.,Emmanuel,Fouquart,1966-07-30,Maubeuge,Retraité militaire,"Employés administratifs de la fonction publique, agents de service et auxiliaires de santé",Employés,Rassemblement National,Bouches-du-Rhône,13
PA840809,M.,Gérault,Verny,1984-12-23,Bourgoin-Jallieu,(23) - Chef d'entreprise de 10 salariés ou plus,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises",Union des droites pour la République,Bouches-du-Rhône,14
PA840817,M.,Joël,Bruneau,1963-09-07,Levroux,(31) - Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,"Libertés, Indépendants, Outre-mer et Territoires",Calvados,1
PA840829,M.,Fabrice,Barusseau,1970-06-01,Saintes,"(34) - Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Charente-Maritime,3
PA840837,M.,Pascal,Markowsky,1954-07-22,Valenciennes,"(72) - Ancien artisan, commerçant, chef d'entreprise",Sans profession déclarée,Sans profession déclarée,Rassemblement National,Charente-Maritime,4
PA840857,Mme,Nadine,Lechon,1963-04-16,Sainte-Foy-la-Grande,(12) - Agriculteur sur moyenne exploitation,Agriculteurs exploitants,Agriculteurs exploitants,Rassemblement National,Dordogne,1
PA840869,Mme,Florence,Joubert,1965-06-30,Reims,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Dordogne,3
PA840889,M.,Matthieu,Bloch,1983-04-26,Audincourt,(37) - Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Union des droites pour la République,Doubs,3
PA840903,M.,Paul,Christophle,1987-02-03,Arles,(37) - Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Drôme,1
PA840915,M.,Thibaut,Monnier,1987-02-24,Belfort,(37) - Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Drôme,4
PA840939,Mme,Océane,Godard,1982-11-22,Sens,Psychologue du travail,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Côte-d'Or,1
PA840947,Mme,Catherine,Hervieu,1958-05-09,Meknès,Psychologue scolaire,Sans profession déclarée,Sans profession déclarée,Écologiste et Social,Côte-d'Or,2
PA840955,M.,Pierre,Pribetich,1956-12-28,Roubaix,"(34) - Professeur, profession scientifique","Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Socialistes et apparentés,Côte-d'Or,3
PA840967,M.,René,Lioret,1952-01-13,Chagny,(74) - Ancien cadre,Sans profession déclarée,Sans profession déclarée,Rassemblement National,Côte-d'Or,5
PA840979,M.,Corentin,Le Fur,1989-12-13,Paris,(37) - Cadre administratif et commercial d'entreprise,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Droite Républicaine,Côtes-d'Armor,3
PA840983,M.,Bartolomé,Lenoir,1991-09-04,Angers,(37) - Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Union des droites pour la République,Creuse,1
PA840997,M.,Benoît,Biteau,1967-04-07,Royan,(12) - Agriculteur sur moyenne exploitation,Agriculteurs exploitants,Agriculteurs exploitants,Écologiste et Social,Charente-Maritime,2
PA841017,M.,Harold,Huwart,1982-01-03,Chartres,Administrateur de l'État,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,"Libertés, Indépendants, Outre-mer et Territoires",Eure-et-Loir,3
PA841023,M.,Pierre-Yves,Cadalen,1992-07-09,Brest,"(34) - Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Finistère,2
PA841047,M.,François-Xavier,Ceccoli,1968-10-27,Cervione,(23) - Chef d'entreprise de 10 salariés ou plus,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises",Droite Républicaine,Haute-Corse,2
PA841059,Mme,Catherine,Dellong Meng,1960-05-04,Avignon,Cadre territoriale de la fonction publique retraitée,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Gard,3
PA841067,M.,Alexandre,Allegret-Pilot,1989-01-11,Annecy,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Union des droites pour la République,Gard,5
PA841075,Mme,Sylvie,Josserand,1968-08-23,Mâcon,(31) - Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,Rassemblement National,Gard,6
PA841091,M.,Arnaud,Simion,1968-05-19,Castelsarrasin,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Haute-Garonne,6
PA841107,M.,Jacques,Oberti,1960-11-26,Marseille,(38) - Ingénieur et cadre technique d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Haute-Garonne,10
PA841131,Mme,Manon,Bouquin,1992-06-02,Evreux,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Hérault,4
PA841139,M.,Julien,Gabarron,1981-03-11,Lille,Cadre Commercial,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Hérault,6
PA841151,Mme,Alix,Fruchon,1994-10-14,Chateauroux,Juriste,,,Droite Républicaine,Indre,2
PA841183,Mme,Hanane,Mansouri,2000-11-24,Echirolles,"(84) - Elève, étudiant",Sans profession déclarée,Sans profession déclarée,Union des droites pour la République,Isère,8
PA841191,Mme,Sandrine,Nosbé,1972-10-29,La Réunion,(54) - Employé administratif d'entreprise,Employés administratifs d'entreprise,Employés,La France insoumise - Nouveau Front Populaire,Isère,9
PA841199,M.,Thierry,Perez,1966-11-19,Paris,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Isère,10
PA841207,M.,Charles,Alloncle,1993-10-21,Nancy,(37) - Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Union des droites pour la République,Hérault,9
PA841215,Mme,Marie,Mesmeur,1994-08-12,Landerneau,Educatrice spécialisée,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,La France insoumise - Nouveau Front Populaire,Ille-et-Vilaine,1
PA841223,M.,Tristan,Lahais,1983-05-11,Rennes,(37) - Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Écologiste et Social,Ille-et-Vilaine,2
PA841243,M.,Sébastien,Saint-Pasteur,1980-12-08,Tarbes,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Gironde,7
PA841251,Mme,Mathilde,Feld,1969-04-28,Rueil-Malmaison,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Gironde,12
PA841295,M.,Pierrick,Courbon,1985-07-08,Firminy,(37) - Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Loire,1
PA841315,M.,Karim,Benbrahim,1980-04-13,Salon-de-Provence,(38) - Ingénieur et cadre technique d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Loire-Atlantique,1
PA841327,M.,Fabrice,Roussel,1973-04-11,Nantes,"(34) - Professeur, profession scientifique","Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Socialistes et apparentés,Loire-Atlantique,5
PA841339,M.,Jean-Michel,Brard,1968-04-03,Pornic,(22) - Commerçant et assimilé,Commerçants et assimilés,"Artisans, commerçants, chefs d'entreprises",Horizons & Indépendants,Loire-Atlantique,9
PA841351,M.,Emmanuel,Duplessy,1990-01-02,Pontoise,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Écologiste et Social,Loiret,2
PA841359,Mme,Constance,de Pélichy,1986-04-01,Blois,Cadre supérieur,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,"Libertés, Indépendants, Outre-mer et Territoires",Loiret,3
PA841367,M.,Christophe,Proença,1966-05-31,Saint-Céré,"(34) - Professeur, profession scientifique","Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Socialistes et apparentés,Lot,2
PA841377,Mme,Emeline,Rey-Rinchet,1988-03-29,Bordeaux,Ostéopathe,Professions libérales,Cadres et professions intellectuelles supérieures,Droite Républicaine,Lot-et-Garonne,3
PA841381,Mme,Sophie,Pantel,1971-07-27,Mende,Cadre de la fonction publique d'État,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Socialistes et apparentés,Lozère,1
PA841395,M.,Maxime,Michelet,1992-04-19,Châlons-sur-Marne,Historien,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Union des droites pour la République,Marne,3
PA841419,M.,Damien,Girard,1973-05-30,Cholet,(38) - Ingénieur et cadre technique d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Écologiste et Social,Morbihan,5
PA841431,Mme,Nathalie,Colin-Oesterlé,1965-05-05,Ollioules,(31) - Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Moselle,3
PA841439,M.,Pascal,Jenft,1966-11-29,Sarreguemines,(21) - Artisan,Artisans,"Artisans, commerçants, chefs d'entreprises",Rassemblement National,Moselle,5
PA841451,M.,Julien,Guibert,1984-05-11,Clamecy,(46) - Profession intermédiaire administrative et commerciale des entreprises,Professions intermédiaires administratives et commerciales des entreprises,Professions intermédiaires,Rassemblement National,Nièvre,2
PA841463,Mme,Estelle,Mercier,1973-01-15,Nancy,"(34) - Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Meurthe-et-Moselle,1
PA841471,M.,Stéphane,Hablot,1965-06-30,Mont-Saint-Martin,Education nationale,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Socialistes et apparentés,Meurthe-et-Moselle,2
PA841479,M.,Frédéric,Weber,1973-05-21,Metz,(43) - Profession intermédiaire de la santé et du travail social,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Rassemblement National,Meurthe-et-Moselle,3
PA841487,M.,Anthony,Boulogne,1993-06-08,Laxou,(37) - Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Meurthe-et-Moselle,6
PA841495,M.,Maxime,Amblard,1996-09-06,L'Isle-d'Espagnac,(38) - Ingénieur et cadre technique d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Meuse,1
PA841507,M.,Nicolas,Bonnet,1981-02-11,Clermont-Ferrand,(38) - Ingénieur et cadre technique d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Écologiste et Social,Puy-de-Dôme,3
PA841515,M.,Aurélien,Le Coq,1996-09-28,Paris,(54) - Employé administratif d'entreprise,Employés administratifs d'entreprise,Employés,La France insoumise - Nouveau Front Populaire,Nord,1
PA841531,Mme,Shéhérazade,Bentorki,1986-11-06,Tourcoing,Collaboratrice parlementaire,,,La France insoumise - Nouveau Front Populaire,Nord,8
PA841543,M.,Jean,Bodart,1946-02-21,Aniche,Retraité de la sidérurgie,Sans profession déclarée,Sans profession déclarée,"Libertés, Indépendants, Outre-mer et Territoires",Nord,13
PA841553,M.,Thierry,Tesson,1957-04-22,Les Sables d'Olonne,(74) - Ancien cadre,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Nord,17
PA841563,Mme,Claire,Marais-Beuil,1958-11-04,Caen,Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,Rassemblement National,Oise,1
PA841575,M.,Frédéric-Pierre,Vos,1963-03-10,Draveil,avocat,Professions libérales,Cadres et professions intellectuelles supérieures,Rassemblement National,Oise,5
PA841587,M.,David,Magnier,1972-06-05,Beauvais,"(48) - Contremaître, agent de maîtrise",Agents de maîtrise (hors maîtrise administrative),Professions intermédiaires,Rassemblement National,Oise,7
PA841595,Mme,Cendrine,Chazé,1977-10-14,Argentan,Secrétaire de mairie,"Employés administratifs de la fonction publique, agents de service et auxiliaires de santé",Employés,Droite Républicaine,Orne,3
PA841605,M.,Antoine,Golliot,1985-08-13,Saint-Martin-Boulogne,(47) - Technicien,Techniciens,Professions intermédiaires,Rassemblement National,Pas-de-Calais,5
PA841613,M.,Marc,de Fleurian,1989-02-07,Ploemeur,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Pas-de-Calais,7
PA841621,M.,Auguste,Evrard,2000-05-04,Blendecques,Collaborateur de cabinet en mairie,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Pas-de-Calais,8
PA841633,M.,Peio,Dufau,1979-05-30,Saint-Jean-de-Luz,"(48) - Contremaître, agent de maîtrise",Agents de maîtrise (hors maîtrise administrative),Professions intermédiaires,Socialistes et apparentés,Pyrénées-Atlantiques,6
PA841645,M.,Théo,Bernhardt,2000-06-29,Angers,Ingénieur de recherche,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Rassemblement National,Bas-Rhin,8
PA841657,Mme,Anaïs,Belouassa-Cherifi,1995-02-07,Thionville,(37) - Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Rhône,1
PA841665,M.,Denis,Fégné,1960-07-31,Castelsarrasin,(74) - Ancien cadre,Sans profession déclarée,Sans profession déclarée,Socialistes et apparentés,Hautes-Pyrénées,2
PA841681,M.,Thierry,Sother,1982-02-02,Mulhouse,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Bas-Rhin,3
PA841701,Mme,Léa,Balage El Mariky,1990-04-09,Evry,(37) - Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Écologiste et Social,Paris,3
PA841713,M.,Boris,Tavernier,1979-08-23,Doullens,(37) - Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Écologiste et Social,Rhône,2
PA841717,Mme,Sandrine,Runel,1979-06-01,Nîmes,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Rhône,4
PA841729,M.,Abdelkader,Lahmar,1971-05-12,Lyon,"(34) - Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Rhône,7
PA841737,M.,Jonathan,Gery,1986-10-12,Aubenas,(53) - Policier et militaire,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Rassemblement National,Rhône,8
PA841749,Mme,Tiffany,Joncour,1989-09-02,Lyon 8,(37) - Cadre administratif et commercial d'entreprise,Professions intermédiaires administratives et commerciales des entreprises,Professions intermédiaires,Rassemblement National,Rhône,13
PA841761,M.,Aurélien,Dutremble,1978-12-23,Saint-Rémy,(47) - Technicien hospitalier,"Employés administratifs de la fonction publique, agents de service et auxiliaires de santé",Employés,Rassemblement National,Saône-et-Loire,3
PA841769,M.,Éric,Michoux,1959-06-17,Paris,(23) - Chef d'entreprise de 10 salariés ou plus,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises",Union des droites pour la République,Saône-et-Loire,4
PA841801,Mme,Danièle,Carteron,1984-10-31,Annecy,Cheffe d'entreprise,Cadres d'entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Haute-Savoie,2
PA841813,Mme,Florence,Herouin-Léautey,1972-12-28,Paris,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Seine-Maritime,1
PA841825,M.,Patrice,Martin,1963-09-13,Neufchâtel-en-Bray,(11) - Agriculteur sur petite exploitation,Agriculteurs exploitants,Agriculteurs exploitants,Rassemblement National,Seine-Maritime,6
PA841837,M.,Robert,Le Bourgeois,1969-11-12,Dieppe,(37) - Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Seine-Maritime,10
PA841845,M.,Arnaud,Saint-Martin,1979-01-25,Boulogne-Billancourt,"(34) - Professeur, profession scientifique","Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,La France insoumise - Nouveau Front Populaire,Seine-et-Marne,1
PA841853,Mme,Céline,Hervieu,1993-08-19,Paris,(31) - Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Paris,11
PA841873,M.,Julien,Limongi,1996-02-12,La Ciotat,(74) - Ancien cadre,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Seine-et-Marne,4
PA841885,M.,Arnaud,Bonnet,1977-02-23,Argenteuil,"(34) - Professeur, profession scientifique","Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Écologiste et Social,Seine-et-Marne,8
PA841893,Mme,Céline,Thiébault-Martinez,1974-08-04,Charleville-Mézières,(37) - Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Seine-et-Marne,9
PA841919,Mme,Dieynaba,Diop,1974-07-15,Mantes-la-Jolie,"(34) - Professeur, profession scientifique","Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Socialistes et apparentés,Yvelines,9
PA841927,Mme,Anne-Sophie,Ronceret,1978-01-07,Suresnes,Collaboratrice parlementaire,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Yvelines,10
PA841931,M.,Laurent,Mazaury,1965-08-23,Pantin,(37) - Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,"Libertés, Indépendants, Outre-mer et Territoires",Yvelines,11
PA841947,Mme,Zahia,Hamdane,1965-05-14,Amiens,(43) - Profession intermédiaire de la santé et du travail social,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,La France insoumise - Nouveau Front Populaire,Somme,2
PA841955,M.,Matthias,Renault,1988-05-02,Villeurbanne,(37) - Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Somme,3
PA841973,M.,Pierre-Henri,Carbonnel,1990-03-23,Montauban,Agriculteur,Agriculteurs exploitants,Agriculteurs exploitants,Union des droites pour la République,Tarn-et-Garonne,1
PA841981,Mme,Catherine,Rimbert,1968-09-13,Avignon,(31) - Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,Rassemblement National,Vaucluse,5
PA841993,M.,Dominique,Paillat,1958-06-11,Le Boupère,responsable d'usine,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Vendée,2
PA842001,M.,Guillaume,Bigot,1969-11-14,Paris,"(35) - Profession de l'information, des arts et des spectacles",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Territoire de Belfort,2
PA842013,M.,Steevy,Gustave,1970-02-05,Arpajon,"(35) - Profession de l'information, des arts et des spectacles",Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises",Écologiste et Social,Essonne,3
PA842029,Mme,Claire,Lejeune,1994-09-07,Juvisy,"34 - Professeur, profession scientifique","Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,La France insoumise - Nouveau Front Populaire,Essonne,7
PA842037,M.,Bérenger,Cernon,1988-05-02,Joigny,"(65) - Ouvrier qualifié de la manutention, du magasinage et du transport",Ouvriers qualifiés de type industriel,Ouvriers,La France insoumise - Nouveau Front Populaire,Essonne,8
PA842045,Mme,Julie,Ozenne,1978-08-02,Granville,(38) - Ingénieur et cadre technique d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Écologiste et Social,Essonne,9
